{'loss': 0.4106823524851706, 'mode': 'test', 'epoch': 67, 'accuracy': 0.8763}
{'loss': 0.12060475547123907, 'mode': 'train', 'epoch': 68, 'accuracy': 0.9573}
{'loss': 0.3889824640314292, 'mode': 'test', 'epoch': 68, 'accuracy': 0.8849}
{'loss': 0.11598743845606248, 'mode': 'train', 'epoch': 69, 'accuracy': 0.9595}
{'loss': 0.3181076217324112, 'mode': 'test', 'epoch': 69, 'accuracy': 0.9012}
{'loss': 0.10793253100570058, 'mode': 'train', 'epoch': 70, 'accuracy': 0.96206}
{'loss': 0.41573411169325464, 'mode': 'test', 'epoch': 70, 'accuracy': 0.8798}
{'loss': 0.11520065711168075, 'mode': 'train', 'epoch': 71, 'accuracy': 0.9595}
{'loss': 0.33289557785555035, 'mode': 'test', 'epoch': 71, 'accuracy': 0.8968}
{'loss': 0.1211894040979694, 'mode': 'train', 'epoch': 72, 'accuracy': 0.95678}
{'loss': 0.3671006180203645, 'mode': 'test', 'epoch': 72, 'accuracy': 0.8921}
{'loss': 0.11148716030580466, 'mode': 'train', 'epoch': 73, 'accuracy': 0.96096}
{'loss': 0.43286734544167826, 'mode': 'test', 'epoch': 73, 'accuracy': 0.8646}
{'loss': 0.11270042534088695, 'mode': 'train', 'epoch': 74, 'accuracy': 0.96022}
{'loss': 0.33534531964428094, 'mode': 'test', 'epoch': 74, 'accuracy': 0.8954}
{'loss': 0.11693533238909588, 'mode': 'train', 'epoch': 75, 'accuracy': 0.95938}
{'loss': 0.44399098121816205, 'mode': 'test', 'epoch': 75, 'accuracy': 0.871}
{'loss': 0.11129785280036349, 'mode': 'train', 'epoch': 76, 'accuracy': 0.96162}
{'loss': 0.42270676231688, 'mode': 'test', 'epoch': 76, 'accuracy': 0.8712}
{'loss': 0.11404835176951887, 'mode': 'train', 'epoch': 77, 'accuracy': 0.95984}
{'loss': 0.36246049195338215, 'mode': 'test', 'epoch': 77, 'accuracy': 0.8922}
{'loss': 0.10977578357509943, 'mode': 'train', 'epoch': 78, 'accuracy': 0.96132}
{'loss': 0.44367400376470234, 'mode': 'test', 'epoch': 78, 'accuracy': 0.8751}
{'loss': 0.10897776357772392, 'mode': 'train', 'epoch': 79, 'accuracy': 0.96124}
{'loss': 0.3395387756691616, 'mode': 'test', 'epoch': 79, 'accuracy': 0.8933}
{'loss': 0.11842237337661518, 'mode': 'train', 'epoch': 80, 'accuracy': 0.95788}
{'loss': 0.3565018450378614, 'mode': 'test', 'epoch': 80, 'accuracy': 0.8932}
{'loss': 0.03500196959851949, 'mode': 'train', 'epoch': 81, 'accuracy': 0.99}
{'loss': 0.22050533671477787, 'mode': 'test', 'epoch': 81, 'accuracy': 0.9331}
{'loss': 0.01512880123141782, 'mode': 'train', 'epoch': 82, 'accuracy': 0.99714}
{'loss': 0.21671485554450645, 'mode': 'test', 'epoch': 82, 'accuracy': 0.9369}
{'loss': 0.009707257356447034, 'mode': 'train', 'epoch': 83, 'accuracy': 0.99886}
{'loss': 0.2142113212519771, 'mode': 'test', 'epoch': 83, 'accuracy': 0.9368}
{'loss': 0.00775727892623228, 'mode': 'train', 'epoch': 84, 'accuracy': 0.99934}
{'loss': 0.21198879488429445, 'mode': 'test', 'epoch': 84, 'accuracy': 0.9374}
{'loss': 0.006033864172408953, 'mode': 'train', 'epoch': 85, 'accuracy': 0.9996}
{'loss': 0.21243946140359157, 'mode': 'test', 'epoch': 85, 'accuracy': 0.9395}
{'loss': 0.0048667361240481545, 'mode': 'train', 'epoch': 86, 'accuracy': 0.99974}
{'loss': 0.21474126726388934, 'mode': 'test', 'epoch': 86, 'accuracy': 0.9407}
{'loss': 0.0044306598775222215, 'mode': 'train', 'epoch': 87, 'accuracy': 0.99984}
{'loss': 0.2146223539569575, 'mode': 'test', 'epoch': 87, 'accuracy': 0.9379}
{'loss': 0.003798292244753573, 'mode': 'train', 'epoch': 88, 'accuracy': 0.9999}
{'loss': 0.21468912938218201, 'mode': 'test', 'epoch': 88, 'accuracy': 0.9393}
{'loss': 0.003541848253068108, 'mode': 'train', 'epoch': 89, 'accuracy': 0.99982}
{'loss': 0.2212018348086791, 'mode': 'test', 'epoch': 89, 'accuracy': 0.9378}
{'loss': 0.003184019209212054, 'mode': 'train', 'epoch': 90, 'accuracy': 0.99992}
{'loss': 0.2169848160141972, 'mode': 'test', 'epoch': 90, 'accuracy': 0.9393}
{'loss': 0.003019570618334326, 'mode': 'train', 'epoch': 91, 'accuracy': 0.99992}
{'loss': 0.2184833237414907, 'mode': 'test', 'epoch': 91, 'accuracy': 0.9392}
{'loss': 0.0026865883937577167, 'mode': 'train', 'epoch': 92, 'accuracy': 0.99998}
{'loss': 0.2182157895272704, 'mode': 'test', 'epoch': 92, 'accuracy': 0.9396}
{'loss': 0.002603915751056599, 'mode': 'train', 'epoch': 93, 'accuracy': 0.9999}
{'loss': 0.21871563728163193, 'mode': 'test', 'epoch': 93, 'accuracy': 0.9387}
{'loss': 0.0023342992281517403, 'mode': 'train', 'epoch': 94, 'accuracy': 0.99996}
{'loss': 0.22084234951502973, 'mode': 'test', 'epoch': 94, 'accuracy': 0.9388}
{'loss': 0.002422085150961982, 'mode': 'train', 'epoch': 95, 'accuracy': 0.99994}
{'loss': 0.21687235448295905, 'mode': 'test', 'epoch': 95, 'accuracy': 0.9401}
{'loss': 0.002327153082851251, 'mode': 'train', 'epoch': 96, 'accuracy': 1.0}
{'loss': 0.21919785276245168, 'mode': 'test', 'epoch': 96, 'accuracy': 0.9394}
{'loss': 0.002161553096207207, 'mode': 'train', 'epoch': 97, 'accuracy': 0.99998}
{'loss': 0.2176431942565046, 'mode': 'test', 'epoch': 97, 'accuracy': 0.9392}
{'loss': 0.0022441323684609456, 'mode': 'train', 'epoch': 98, 'accuracy': 0.9999}
{'loss': 0.2170503516533193, 'mode': 'test', 'epoch': 98, 'accuracy': 0.9387}
{'loss': 0.0018972001131385772, 'mode': 'train', 'epoch': 99, 'accuracy': 1.0}
{'loss': 0.22311048128992123, 'mode': 'test', 'epoch': 99, 'accuracy': 0.9382}
{'loss': 0.0019207180184705175, 'mode': 'train', 'epoch': 100, 'accuracy': 0.99998}
{'loss': 0.22380224558388342, 'mode': 'test', 'epoch': 100, 'accuracy': 0.9394}
